"n","distribution","fdr","tpr","fpr","shd","pred_size","F1_score","fdr_und","tpr_und","fpr_und","shd_und","pred_size.1","F1_score_und"
1000,"gauss",0.333070175438596,0.64,0.0376470588235294,7.6,19.2,0.653029689608637,0.0202631578947368,0.94,0.00235294117647059,1.6,19.2,0.959224021592443
1000,"exp",0.353270676691729,0.63,0.0405882352941176,8.3,19.5,0.63798278529344,0.0450501253132832,0.93,0.00529411764705882,2.3,19.5,0.941906948421711
1000,"gumbel",0.322865497076023,0.64,0.0358823529411765,7.6,18.9,0.657813765182186,0.0207894736842105,0.925,0.00235294117647059,1.9,18.9,0.951005398110661
